New Run at  07/13/2017 20:13:27
, Time, RandomReward; N_LinUCBReward; 
data,1217541600000,25;2159;127
data,1217541600000,25;3179;127
data,1217541600000,26;1265;128
data,1217541600000,26;7037;128
data,1217541600000,26;2644;128
data,1217541600000,26;4451;128
data,1217541600000,26;6922;129
data,1217541600000,26;7963;130
data,1217541600000,26;7975;130
data,1217541600000,26;4568;130
data,1217541600000,26;422;130
data,1217541600000,26;6400;130
data,1217541600000,26;8011;131
data,1217541600000,26;4630;131
data,1217541600000,26;96;131
data,1217541600000,26;8042;131
data,1217541600000,26;8063;131
data,1217541600000,26;5622;131
data,1217541600000,26;3955;131
data,1217541600000,26;8081;131
data,1217541600000,26;8091;131
data,1217541600000,26;4502;131
data,1217541600000,26;7093;131
data,1217541600000,26;8110;131
data,1217541600000,26;181;131
data,1217541600000,26;8136;131
data,1217541600000,26;8139;131
data,1217541600000,26;8156;131
data,1217541600000,26;8041;131
data,1217541600000,26;1056;132
data,1217541600000,26;4532;133
data,1217541600000,26;1601;133
data,1217541600000,26;6647;133
data,1217541600000,26;3151;133
data,1217541600000,26;8211;133
data,1217541600000,26;7883;133
data,1217541600000,26;8230;133
data,1217541600000,26;1437;133
data,1217541600000,26;3285;133
data,1217541600000,26;8256;133
data,1217541600000,26;8264;133
data,1217541600000,26;8274;133
data,1217541600000,27;8287;133
data,1217541600000,27;6111;133
data,1217541600000,27;5718;133
data,1217541600000,27;8316;133
data,1217541600000,27;8324;133
data,1217541600000,27;8340;133
data,1217541600000,27;8355;133
data,1217541600000,27;8370;133
data,1217541600000,27;8375;133
data,1217541600000,27;4585;133
data,1217541600000,27;6732;133
data,1217541600000,27;8407;133
data,1217541600000,27;8416;133
data,1217541600000,27;8418;133
data,1217541600000,27;8431;133
data,1217541600000,27;8435;134
data,1220220000000,27;4361;134
data,1304596176284,28;6109;134
data,1304596177553,28;8466;134
data,1304596187726,28;8475;134
data,1304596191912,28;3566;134
data,1304596194417,28;2507;134
data,1304596197640,28;8491;134
data,1304596214214,28;8502;134
data,1304596215240,28;5800;134
data,1304596223989,28;8517;134
data,1304596226144,28;8522;134
data,1209592800000,28;7801;134
data,1209592800000,28;661;135
data,1209592800000,28;8550;135
data,1209592800000,28;7950;135
data,1212271200000,28;7777;135
data,1214863200000,28;3842;136
data,1222812000000,28;8572;136
data,1228086000000,28;7438;136
data,1228086000000,28;8592;136
data,1275343200000,28;8597;136
data,1275343200000,28;8606;136
data,1277935200000,28;8612;136
data,1277935200000,28;8460;136
data,1277935200000,28;8633;136
data,1277935200000,28;8640;136
data,1277935200000,28;8653;136
data,1277935200000,29;945;136
data,1277935200000,29;8665;136
data,1280613600000,29;1936;136
data,1280613600000,29;1228;136
data,1280613600000,29;8687;136
data,1280613600000,30;1052;136
data,1285884000000,30;8086;136
data,1285884000000,30;3398;136
data,1285884000000,30;4015;136
data,1285884000000,30;989;136
data,1285884000000,30;4630;136
data,1285884000000,30;3887;136
data,1285884000000,30;8438;136
data,1285884000000,30;6979;136
data,1285884000000,30;8530;136
data,1285884000000,30;3764;136
data,1285884000000,30;6797;136
data,1285884000000,30;2480;136
data,1285884000000,30;4436;136
data,1285884000000,30;5289;136
data,1285884000000,30;7325;136
data,1285884000000,30;8518;136
data,1285884000000,30;8815;136
data,1285884000000,30;7343;136
data,1285884000000,30;7300;136
data,1285884000000,30;8838;136
data,1285884000000,30;398;136
data,1285884000000,30;1820;136
data,1288566000000,31;7164;136
data,1288566000000,31;3860;136
data,1288566000000,31;1635;136
data,1288566000000,31;4237;136
data,1288566000000,31;2022;136
data,1288566000000,31;8880;136
data,1288566000000,32;8887;136
data,1288566000000,32;3503;136
data,1288566000000,32;7483;136
data,1291158000000,32;6819;136
data,1291158000000,32;8550;136
data,1291158000000,32;8917;136
data,1291158000000,32;8931;136
data,1291158000000,33;8739;136
data,1293836400000,33;8952;136
data,1293836400000,33;5289;136
data,1296514800000,33;3774;136
data,1296514800000,33;5786;137
data,1298934000000,33;8984;137
data,1304596239074,34;3714;137
data,1304596242695,35;7742;137
data,1304596260969,35;6168;137
data,1304596272248,35;9015;137
data,1304596273351,35;5876;137
data,1283292000000,35;1390;137
data,1283292000000,35;4705;137
data,1283292000000,35;3106;137
data,1283292000000,35;9046;137
data,1283292000000,35;863;137
data,1291158000000,35;9061;137
data,1291158000000,35;9077;137
data,1291158000000,35;1907;137
data,1291158000000,35;777;137
data,1291158000000,35;9097;137
data,1291158000000,35;9103;137
data,1293836400000,35;516;138
data,1293836400000,35;5470;139
data,1293836400000,35;516;140
data,1296514800000,35;5718;141
data,1296514800000,35;4168;142
data,1296514800000,35;245;143
data,1296514800000,35;5781;143
data,1296514800000,35;5470;144
data,1296514800000,35;8435;145
data,1296514800000,35;4958;146
data,1296514800000,36;8435;147
data,1296514800000,36;3103;148
data,1296514800000,36;721;148
data,1296514800000,36;8045;148
data,1296514800000,36;9190;148
data,1296514800000,36;516;149
data,1296514800000,36;1016;150
data,1296514800000,36;9180;151
data,1296514800000,36;5834;151
data,1296514800000,36;899;151
data,1296514800000,36;8517;151
data,1296514800000,36;131;152
data,1296514800000,36;8435;153
data,1296514800000,36;6513;153
data,1296514800000,36;4483;153
data,1296514800000,36;7735;153
data,1296514800000,36;1474;153
data,1296514800000,36;5101;153
data,1296514800000,36;4958;154
data,1296514800000,36;5625;154
data,1296514800000,36;131;155
data,1296514800000,36;9284;155
data,1296514800000,36;516;156
data,1296514800000,36;516;157
data,1296514800000,36;245;158
data,1296514800000,36;5470;159
data,1296514800000,36;4212;159
data,1298934000000,36;8435;160
data,1298934000000,36;8567;160
data,1298934000000,36;8435;161
data,1298934000000,36;1706;161
data,1298934000000,36;3127;162
data,1298934000000,36;516;163
data,1298934000000,36;2927;163
data,1298934000000,36;5851;164
data,1298934000000,36;7735;164
data,1298934000000,36;9048;164
data,1298934000000,36;1565;164
data,1298934000000,36;8435;165
data,1298934000000,36;516;166
data,1298934000000,36;3127;167
data,1298934000000,36;516;168
data,1298934000000,36;245;169
data,1298934000000,36;5224;170
data,1298934000000,36;3127;171
data,1298934000000,36;8435;172
data,1298934000000,36;5358;172
data,1298934000000,36;3127;173
data,1298934000000,36;5224;174
data,1298934000000,36;516;175
data,1298934000000,36;1016;176
data,1298934000000,36;3127;177
data,1298934000000,36;989;177
data,1298934000000,37;1018;177
data,1298934000000,37;9485;177
data,1298934000000,37;8435;178
data,1298934000000,37;4958;179
data,1298934000000,37;8435;180
data,1298934000000,37;3578;180
data,1298934000000,37;8880;180
data,1298934000000,37;3489;180
data,1298934000000,37;4681;180
data,1298934000000,37;9367;181
data,1298934000000,37;3127;182
data,1298934000000,37;8435;183
data,1298934000000,37;2349;183
data,1298934000000,37;245;184
data,1298934000000,37;245;185
data,1298934000000,37;2491;185
data,1298934000000,37;5718;186
data,1298934000000,37;3127;187
data,1298934000000,37;9367;188
data,1298934000000,37;516;189
data,1298934000000,37;516;190
data,1298934000000,37;9082;191
data,1298934000000,37;8435;192
data,1298934000000,37;1016;193
data,1298934000000,37;7197;194
data,1298934000000,37;2731;194
data,1304596429856,37;84;194
data,1304596429049,37;3688;194
data,1304596429840,37;5048;194
data,1304596429340,37;7430;195
data,1304596429357,37;9653;196
data,1304596429273,37;4108;196
data,1304596429090,37;6999;197
data,1304596429027,37;2111;198
data,1304596429182,37;9673;198
data,1304596429124,37;2049;198
data,1304596429232,37;7848;198
data,1304596429074,37;3014;198
data,1304596429107,37;3742;198
data,1304596432786,37;9653;199
data,1304596432553,37;6912;199
data,1304596432678,37;7366;199
data,1304596432586,37;5839;199
data,1304596432770,37;7430;200
data,1304596432803,37;9732;200
data,1304596432645,37;168;201
data,1304596432537,37;3275;202
data,1304596432517,37;2111;203
data,1304596432720,37;6702;204
data,1304596433427,37;6999;205
data,1304596433585,37;9367;206
data,1304596433519,37;9771;206
data,1304596433535,37;516;207
data,1304596433444,37;1843;207
data,1304596433477,37;5470;208
data,1304596433552,37;6702;209
data,1304596433461,37;5224;210
data,1304596433410,38;2111;211
data,1304596433569,38;5718;212
data,1304596433610,38;8435;213
data,1304596433502,38;3127;214
data,1304596433627,38;7775;214
data,1304596435600,38;6456;214
data,1304596435733,38;9837;214
data,1304596435617,38;9842;214
data,1304596435533,39;1744;214
data,1304596435658,39;6702;215
data,1304596435708,39;7430;216
data,1304596435492,40;3275;217
data,1304596436275,40;1350;217
data,1304596437731,40;4497;217
data,1304596437839,40;5358;217
data,1304596437806,40;5470;218
data,1304596437709,40;2111;219
data,1304596437773,40;4215;219
data,1304596437914,40;9905;219
data,1304596437823,40;2855;220
data,1304596438039,40;6702;221
data,1304596438097,40;9653;222
data,1304596438988,40;2111;223
data,1304596439121,40;7430;224
data,1304596439063,40;6702;225
data,1304596439030,40;6582;225
data,1304596439706,40;6702;226
data,1304596439046,40;4320;226
data,1304596439154,40;1562;226
data,1304596440312,40;2111;227
data,1304596440328,40;6702;228
data,1304596441769,40;7430;229
data,1304596441785,40;9966;229
data,1304596441752,40;6675;229
data,1304596443491,40;3127;230
data,1304596443467,40;5224;231
data,1304596443433,40;6702;232
data,1304596443398,40;2111;233
data,1304596443450,40;6402;233
data,1304596443416,40;4857;233
data,1304596443508,40;9653;234
data,1304596444469,40;7397;234
data,1304596444499,40;1241;234
data,1304596444482,40;7197;235
data,1304596445832,40;8435;236
data,1304596445848,40;7430;237
data,1304596445790,40;6568;237
data,1304596447147,40;3103;238
data,1304596447130,40;2111;239
