New Run at  07/13/2017 20:06:14
, Time, RandomReward; Master_UniformLCBReward; 
data,1264978800000,10;2766;63
data,1264978800000,10;6876;64
data,1264978800000,10;6896;64
data,1264978800000,10;4224;65
data,1264978800000,10;5722;65
data,1264978800000,10;5287;65
data,1264978800000,10;4408;65
data,1264978800000,10;1473;65
data,1264978800000,10;6975;65
data,1264978800000,10;666;65
data,1264978800000,10;7002;65
data,1264978800000,10;7007;65
data,1264978800000,10;5075;65
data,1264978800000,10;3794;65
data,1264978800000,10;979;66
data,1264978800000,10;7050;67
data,1264978800000,10;4434;68
data,1264978800000,10;7077;68
data,1264978800000,10;2594;68
data,1264978800000,10;529;68
data,1264978800000,10;7107;69
data,1264978800000,10;3007;70
data,1264978800000,10;1072;70
data,1264978800000,10;1136;70
data,1264978800000,10;4100;71
data,1264978800000,10;1559;72
data,1264978800000,10;7162;72
data,1264978800000,10;7176;72
data,1264978800000,10;7191;72
data,1267398000000,10;7192;73
data,1267398000000,10;6777;73
data,1267398000000,10;1350;73
data,1267398000000,10;6346;73
data,1267398000000,10;1057;74
data,1267398000000,10;1594;74
data,1267398000000,10;4309;75
data,1267398000000,10;2981;75
data,1267398000000,10;253;76
data,1267398000000,10;1951;77
data,1267398000000,10;2713;77
data,1267398000000,10;1842;78
data,1270072800000,10;1146;78
data,1270072800000,10;3266;78
data,1272664800000,10;7333;78
data,1272664800000,10;4434;79
data,1272664800000,10;5722;79
data,1272664800000,10;5513;79
data,1272664800000,10;1555;79
data,1272664800000,10;5571;79
data,1272664800000,10;2539;79
data,1272664800000,10;7419;80
data,1272664800000,10;2013;80
data,1272664800000,10;7444;80
data,1272664800000,10;7459;80
data,1272664800000,10;1161;80
data,1272664800000,10;2051;81
data,1272664800000,10;7498;81
data,1272664800000,10;7501;81
data,1272664800000,10;2658;82
data,1272664800000,10;1069;82
data,1272664800000,10;7206;82
data,1272664800000,10;2559;82
data,1272664800000,10;2637;82
data,1272664800000,10;601;83
data,1272664800000,10;6777;83
data,1272664800000,10;579;83
data,1272664800000,10;4389;83
data,1272664800000,10;2242;83
data,1272664800000,10;7616;83
data,1272664800000,10;2395;84
data,1272664800000,10;7630;84
data,1272664800000,10;2034;85
data,1272664800000,10;411;86
data,1275343200000,10;7664;86
data,1275343200000,10;7681;86
data,1277935200000,10;3299;87
data,1277935200000,10;2788;87
data,1280613600000,10;7715;87
data,1280613600000,11;6701;87
data,1280613600000,11;7730;88
data,1280613600000,11;6329;88
data,1280613600000,11;7753;89
data,1280613600000,11;7760;89
data,1280613600000,11;7768;90
data,1280613600000,11;123;91
data,1280613600000,12;7779;92
data,1280613600000,12;7788;93
data,1280613600000,13;3662;94
data,1280613600000,13;7814;94
data,1280613600000,14;5287;94
data,1280613600000,14;7835;95
data,1283292000000,14;7857;95
data,1285884000000,14;2539;95
data,1285884000000,14;7870;95
data,1285884000000,14;2922;96
data,1285884000000,14;7885;97
data,1285884000000,14;925;98
