New Run at  08/09/2018 10:38:00
, Time, RandomReward; dLinUCB_Likelihood_UniformReward, ClusterID;UserID;dLinUCB_Likelihood_UniformModelUsed,
data,1264978800000,16;6781;62.0,0;11;1
data,1264978800000,16;1880;62.0,0;11;1
data,1264978800000,16;1883;62.0,0;11;1
data,1264978800000,16;513;63.0,0;11;1
data,1264978800000,16;6824;63.0,0;11;1
data,1264978800000,16;6066;63.0,0;11;1
data,1264978800000,16;5989;63.0,0;11;1
data,1264978800000,16;2766;63.0,0;11;1
data,1264978800000,16;6876;64.0,0;11;1
data,1264978800000,16;6896;64.0,0;11;1
data,1264978800000,16;4224;65.0,0;11;1
data,1264978800000,16;5722;65.0,0;11;1
data,1264978800000,16;5287;65.0,0;11;1
data,1264978800000,16;4408;65.0,0;11;1
data,1264978800000,16;1473;65.0,0;11;1
data,1264978800000,16;6975;65.0,0;11;1
data,1264978800000,16;666;65.0,0;11;1
data,1264978800000,16;7002;65.0,0;11;1
data,1264978800000,16;7007;65.0,0;11;1
data,1264978800000,16;5075;65.0,0;11;1
data,1264978800000,16;3794;65.0,0;11;1
data,1264978800000,16;979;66.0,0;11;1
data,1264978800000,16;7050;67.0,0;11;1
data,1264978800000,16;4434;68.0,0;11;1
data,1264978800000,16;7077;68.0,0;11;1
data,1264978800000,16;2594;68.0,0;11;1
data,1264978800000,16;529;68.0,0;11;1
data,1264978800000,16;7107;69.0,0;11;1
data,1264978800000,16;3007;70.0,0;11;1
data,1264978800000,16;1072;70.0,0;11;1
data,1264978800000,16;1136;70.0,0;11;1
data,1264978800000,17;4100;71.0,0;11;1
data,1264978800000,17;1559;72.0,0;11;1
data,1264978800000,17;7162;72.0,0;11;1
data,1264978800000,17;7176;72.0,0;11;1
data,1264978800000,17;7191;72.0,0;11;1
data,1267398000000,17;7192;73.0,0;11;1
data,1267398000000,17;6777;73.0,0;11;1
data,1267398000000,17;1350;73.0,0;11;1
data,1267398000000,17;6346;73.0,0;11;1
data,1267398000000,17;1057;74.0,0;11;1
data,1267398000000,17;1594;74.0,0;11;1
data,1267398000000,17;4309;75.0,0;11;1
data,1267398000000,17;2981;75.0,0;11;1
data,1267398000000,17;253;76.0,0;11;1
data,1267398000000,17;1951;77.0,0;11;1
data,1267398000000,17;2713;77.0,0;11;1
data,1267398000000,17;1842;78.0,0;11;1
data,1270072800000,17;1146;78.0,0;11;1
data,1270072800000,17;3266;78.0,0;11;1
data,1272664800000,17;7333;78.0,0;11;1
data,1272664800000,17;4434;79.0,0;11;1
data,1272664800000,17;5722;79.0,0;11;1
data,1272664800000,17;5513;79.0,0;11;1
data,1272664800000,17;1555;79.0,0;11;1
data,1272664800000,17;5571;79.0,0;11;1
data,1272664800000,17;2539;79.0,0;11;1
data,1272664800000,17;7419;80.0,0;11;1
data,1272664800000,17;2013;80.0,0;11;1
data,1272664800000,17;7444;80.0,0;11;1
data,1272664800000,17;7459;80.0,0;11;1
data,1272664800000,17;1161;80.0,0;11;1
