New Run at  08/08/2018 22:53:11
, Time, RandomReward; M_LinUCBReward, ClusterID;UserID;M_LinUCBModelUsed,
data,1264978800000,14;1505;37.0,37;11
data,1264978800000,14;1853;37.0,37;11
data,1264978800000,15;4349;37.0,37;11
data,1264978800000,15;5629;37.0,37;11
data,1264978800000,15;5645;37.0,37;11
data,1264978800000,15;5653;37.0,37;11
data,1264978800000,15;2879;37.0,37;11
data,1264978800000,15;3859;37.0,37;11
data,1264978800000,15;5691;37.0,37;11
data,1264978800000,15;4814;37.0,37;11
data,1264978800000,15;5708;37.0,37;11
data,1264978800000,15;3390;37.0,37;11
data,1264978800000,15;3379;37.0,37;11
data,1264978800000,15;720;38.0,37;11
data,1264978800000,15;5762;38.0,37;11
data,1264978800000,15;5778;38.0,37;11
data,1264978800000,15;5789;38.0,37;11
data,1264978800000,15;5805;38.0,37;11
data,1264978800000,15;1346;39.0,37;11
data,1264978800000,15;5839;39.0,37;11
data,1264978800000,15;5847;40.0,37;11
data,1264978800000,15;5861;40.0,37;11
data,1264978800000,15;5875;40.0,37;11
data,1264978800000,15;5895;40.0,37;11
data,1264978800000,15;664;40.0,37;11
data,1264978800000,15;4860;41.0,37;11
data,1264978800000,15;1312;41.0,37;11
data,1264978800000,15;5964;41.0,37;11
data,1264978800000,15;5971;41.0,37;11
data,1264978800000,15;4186;41.0,37;11
data,1264978800000,15;6006;41.0,37;11
data,1264978800000,15;6018;41.0,37;11
data,1264978800000,15;4497;41.0,37;11
data,1264978800000,15;1857;41.0,37;11
data,1264978800000,15;2655;41.0,37;11
data,1264978800000,15;4527;41.0,37;11
data,1264978800000,15;6074;41.0,37;11
data,1264978800000,15;3604;41.0,37;11
data,1264978800000,15;366;41.0,37;11
data,1264978800000,16;6106;42.0,37;11
data,1264978800000,16;6116;43.0,37;11
data,1264978800000,16;6125;44.0,37;11
data,1264978800000,16;2213;44.0,37;11
data,1264978800000,16;6159;45.0,37;11
data,1264978800000,16;4258;46.0,37;11
data,1264978800000,16;6192;46.0,37;11
data,1264978800000,16;6199;47.0,37;11
data,1264978800000,16;4570;47.0,37;11
data,1264978800000,16;6232;47.0,37;11
data,1264978800000,16;6240;47.0,37;11
data,1264978800000,16;3794;47.0,37;11
data,1264978800000,16;5975;47.0,37;11
data,1264978800000,16;5594;47.0,37;11
data,1264978800000,16;915;48.0,37;11
data,1264978800000,17;6302;48.0,37;11
data,1264978800000,17;6310;49.0,37;11
data,1264978800000,17;6329;49.0,37;11
data,1264978800000,17;2009;49.0,37;11
data,1264978800000,17;5123;49.0,37;11
data,1264978800000,17;6359;50.0,37;11
data,1264978800000,17;111;51.0,37;11
data,1264978800000,17;6386;52.0,37;11
data,1264978800000,17;501;52.0,37;11
data,1264978800000,17;6414;52.0,37;11
data,1264978800000,17;3819;52.0,37;11
data,1264978800000,17;6445;52.0,37;11
data,1264978800000,17;4722;52.0,37;11
data,1264978800000,17;6464;52.0,37;11
data,1264978800000,17;6477;52.0,37;11
data,1264978800000,17;6488;52.0,37;11
data,1264978800000,17;1597;52.0,37;11
data,1264978800000,17;2174;53.0,37;11
data,1264978800000,17;1613;53.0,37;11
data,1264978800000,17;6534;53.0,37;11
data,1264978800000,17;3298;53.0,37;11
data,1264978800000,17;1143;53.0,37;11
data,1264978800000,17;6575;54.0,37;11
data,1264978800000,17;4500;54.0,37;11
data,1264978800000,17;4000;55.0,37;11
data,1264978800000,17;5481;55.0,37;11
data,1264978800000,17;6620;56.0,37;11
data,1264978800000,17;2615;56.0,37;11
data,1264978800000,17;4479;56.0,37;11
data,1264978800000,17;6663;56.0,37;11
data,1264978800000,17;6679;56.0,37;11
data,1264978800000,17;6686;56.0,37;11
data,1264978800000,17;6700;56.0,37;11
data,1264978800000,17;4521;56.0,37;11
data,1264978800000,17;3219;56.0,37;11
data,1264978800000,17;78;56.0,37;11
data,1264978800000,17;4290;57.0,37;11
data,1264978800000,17;6766;57.0,37;11
data,1264978800000,17;6768;58.0,37;11
data,1264978800000,17;6123;58.0,37;11
data,1264978800000,17;1880;58.0,37;11
data,1264978800000,17;1335;58.0,37;11
data,1264978800000,17;513;59.0,37;11
data,1264978800000,17;6824;59.0,37;11
data,1264978800000,17;3907;59.0,37;11
data,1264978800000,17;4817;59.0,37;11
data,1264978800000,17;6875;59.0,37;11
data,1264978800000,17;6880;59.0,37;11
data,1264978800000,17;6896;59.0,37;11
data,1264978800000,17;4224;60.0,37;11
data,1264978800000,17;4744;60.0,37;11
data,1264978800000,17;5287;60.0,37;11
data,1264978800000,17;6942;60.0,37;11
data,1264978800000,17;1473;60.0,37;11
data,1264978800000,17;6965;61.0,37;11
data,1264978800000,17;666;61.0,37;11
data,1264978800000,18;6999;61.0,37;11
data,1264978800000,18;7007;61.0,37;11
data,1264978800000,18;5075;61.0,37;11
data,1264978800000,18;3794;61.0,37;11
data,1264978800000,18;979;62.0,37;11
data,1264978800000,18;7050;63.0,37;11
data,1264978800000,18;4434;64.0,37;11
data,1264978800000,18;7077;64.0,37;11
data,1264978800000,18;2594;64.0,37;11
