New Run at  07/13/2017 15:50:07
, Time, RandomReward; Master_UniformLCBReward; 
data,1304596439154,42;1562;227
data,1304596440312,42;2111;228
data,1304596440328,42;6702;229
data,1304596441769,42;7430;230
data,1304596441785,42;9966;230
data,1304596441752,42;6675;230
data,1304596443491,42;3127;231
data,1304596443467,42;5224;232
data,1304596443433,42;6702;233
data,1304596443398,42;2111;234
data,1304596443450,42;6402;234
data,1304596443416,42;6999;235
data,1304596443508,42;9653;236
data,1304596444469,42;7397;236
data,1304596444499,42;6670;237
data,1304596444482,42;7197;238
data,1304596445832,42;8435;239
data,1304596445848,42;7430;240
data,1304596445790,42;131;241
data,1304596447147,42;3103;242
data,1304596447130,42;2111;243
data,1304596447971,42;6999;244
data,1304596447107,42;10055;244
data,1304596447938,42;9180;245
data,1304596447197,42;6702;246
data,1304596447954,42;3103;247
data,1304596447988,42;1016;248
data,1304596447288,42;9653;249
data,1304596447164,42;7197;250
data,1304596448138,42;7430;251
data,1304596448046,42;1101;251
data,1304596448154,42;9190;251
data,1304596448096,42;131;252
data,1304596448063,42;3127;253
data,1304596448121,42;9367;254
data,1304596448029,42;5224;255
data,1304596448079,42;168;256
data,1304596448712,42;3275;257
data,1304596448013,42;245;258
data,1304596449570,43;3103;259
data,1304596449669,43;9653;260
data,1304596449636,43;7430;261
data,1304596450735,43;3095;261
data,1304596450723,43;3103;262
data,1304596450851,43;4327;262
data,1304596450835,43;8435;263
data,1304596450793,43;1016;264
data,1304596450244,43;3127;265
data,1304596450818,43;131;266
data,1304596450190,43;516;267
data,1304596450210,43;8435;268
data,1304596451393,43;1350;268
data,1304596453865,43;9000;268
data,1304596453832,43;6999;269
data,1304596453940,43;168;270
data,1304596453973,43;1744;270
data,1304596453898,43;4313;270
data,1304596453815,44;5408;270
data,1304596453956,44;8941;270
data,1304596454023,44;6702;271
data,1304596454006,44;9141;271
data,1304596454065,44;6724;271
data,1304596455056,44;5101;271
data,1304596455088,44;6702;272
data,1304596455030,44;7197;273
data,1304596455014,44;9180;274
data,1304596455986,44;4551;274
data,1304596455072,44;6670;275
data,1304596455163,44;6492;276
data,1304596456096,44;8594;276
data,1304596456112,44;9653;277
data,1304596456021,44;9802;277
data,1304596456079,44;7430;278
data,1304596458131,44;2111;279
data,1304596458194,44;10295;279
data,1304596458378,44;7754;279
data,1304596458393,44;6702;280
data,1304596458486,44;7430;281
data,1304596459127,44;6702;282
data,1304596459192,44;7430;283
data,1304596459079,44;2111;284
data,1304596459101,44;8407;284
data,1304596459209,45;9653;285
data,1304596459176,45;7205;285
data,1304596460233,45;4453;285
