New Run at  07/24/2017 14:49:10
, Time, RandomReward; UniformAdTSReward; 
data,1298934000000,29;516;98
data,1298934000000,29;1016;99
data,1298934000000,29;3127;100
data,1298934000000,29;4958;101
data,1298934000000,29;3442;102
data,1298934000000,29;5757;102
data,1298934000000,29;8435;103
data,1298934000000,29;4958;104
data,1298934000000,29;8435;105
data,1298934000000,29;3578;105
data,1298934000000,29;5718;106
data,1298934000000,29;327;106
data,1298934000000,29;6008;107
data,1298934000000,29;9081;107
data,1298934000000,29;3127;108
data,1298934000000,29;8435;109
data,1298934000000,29;2349;109
data,1298934000000,29;245;110
data,1298934000000,29;245;111
data,1298934000000,29;6999;112
data,1298934000000,29;5718;113
data,1298934000000,29;3127;114
data,1298934000000,29;9367;115
data,1298934000000,29;516;116
data,1298934000000,29;516;117
data,1298934000000,29;9082;118
data,1298934000000,29;8435;119
data,1298934000000,29;1016;120
data,1298934000000,29;7197;121
data,1298934000000,29;9082;122
data,1304596429856,29;7430;123
data,1304596429049,29;3103;124
data,1304596429840,30;2267;124
data,1304596429340,30;7430;125
data,1304596429357,30;9653;126
data,1304596429273,30;4108;126
data,1304596429090,30;9063;126
data,1304596429027,30;2111;127
data,1304596429182,30;6433;127
data,1304596429124,30;3807;128
data,1304596429232,30;7848;128
data,1304596429074,30;3014;128
data,1304596429107,30;1322;128
data,1304596432786,30;1639;128
data,1304596432553,31;9695;129
data,1304596432678,31;6670;130
data,1304596432586,31;3639;130
data,1304596432770,31;7430;131
data,1304596432803,31;6492;132
data,1304596432645,31;168;133
data,1304596432537,31;3275;134
data,1304596432517,31;2111;135
data,1304596432720,31;6702;136
data,1304596433427,31;6999;137
data,1304596433585,31;9367;138
data,1304596433519,31;9771;138
data,1304596433535,31;516;139
data,1304596433444,31;1843;139
data,1304596433477,31;5470;140
data,1304596433552,31;1993;140
data,1304596433461,31;5224;141
data,1304596433410,31;2111;142
data,1304596433569,31;5718;143
data,1304596433610,31;8435;144
data,1304596433502,31;3127;145
data,1304596433627,31;9653;146
data,1304596435600,31;6456;146
data,1304596435733,31;9837;146
data,1304596435617,31;9842;146
data,1304596435533,31;1744;146
data,1304596435658,31;6702;147
data,1304596435708,31;7430;148
data,1304596435492,31;3275;149
data,1304596436275,31;1350;149
data,1304596437731,31;4497;149
data,1304596437839,31;5358;149
data,1304596437806,32;5470;150
data,1304596437709,32;2111;151
data,1304596437773,33;4215;151
data,1304596437914,33;7430;152
data,1304596437823,33;4160;152
data,1304596438039,33;6702;153
data,1304596438097,33;9653;154
data,1304596438988,34;2111;155
data,1304596439121,34;7430;156
data,1304596439063,34;6702;157
data,1304596439030,34;9180;158
data,1304596439706,34;6702;159
data,1304596439046,34;6999;160
data,1304596439154,34;1562;160
data,1304596440312,35;2111;161
data,1304596440328,35;9219;161
data,1304596441769,35;7430;162
data,1304596441785,35;9966;162
data,1304596441752,35;6675;162
data,1304596443491,35;3127;163
data,1304596443467,35;5224;164
data,1304596443433,35;6702;165
data,1304596443398,35;4674;165
data,1304596443450,35;6402;165
data,1304596443416,35;6999;166
data,1304596443508,35;9653;167
data,1304596444469,35;7397;167
data,1304596444499,35;6670;168
data,1304596444482,35;7197;169
data,1304596445832,35;8435;170
data,1304596445848,35;7430;171
data,1304596445790,35;131;172
data,1304596447147,35;3103;173
data,1304596447130,35;2111;174
data,1304596447971,35;6999;175
data,1304596447107,35;2855;176
data,1304596447938,35;9180;177
data,1304596447197,35;6702;178
data,1304596447954,35;3103;179
data,1304596447988,35;1016;180
data,1304596447288,35;9653;181
data,1304596447164,35;7197;182
data,1304596448138,35;7430;183
data,1304596448046,35;1101;183
